FECHA HECHO;COD_DEPTO;DEPARTAMENTO;COD_MUNI;MUNICIPIO;CANTIDAD
3/04/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
6/04/2019;41;HUILA;41001;NEIVA;1
11/04/2019;8;ATLÁNTICO;8001;BARRANQUILLA;1
11/04/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
15/04/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
15/04/2019;68;SANTANDER;68081;BARRANCABERMEJA;1
20/04/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
24/04/2019;23;CÓRDOBA;23162;CERETE;1
24/04/2019;76;VALLE DEL CAUCA;76364;JAMUNDI;1
30/04/2019;8;ATLÁNTICO;8436;MANATI;1
2/05/2019;52;NARIÑO;52835;SAN ANDRES DE TUMACO;1
7/05/2019;27;CHOCÓ;27001;QUIBDO;1
16/05/2019;70;SUCRE;70001;SINCELEJO;1
17/05/2019;66;RISARALDA;66170;DOSQUEBRADAS;1
22/05/2019;5;ANTIOQUIA;5001;MEDELLIN;1
23/05/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;2
7/06/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
11/06/2019;50;META;50370;URIBE;1
12/06/2019;25;CUNDINAMARCA;25290;FUSAGASUGA;1
18/06/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
19/06/2019;13;BOLÍVAR;13001;CARTAGENA;1
21/06/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;2
27/06/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
28/06/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
3/07/2019;76;VALLE DEL CAUCA;76001;CALI;1
4/07/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
4/07/2019;76;VALLE DEL CAUCA;76001;CALI;1
17/07/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
18/07/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
31/07/2019;5;ANTIOQUIA;5266;ENVIGADO;1
1/08/2019;76;VALLE DEL CAUCA;76001;CALI;1
2/08/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
3/08/2019;76;VALLE DEL CAUCA;76001;CALI;1
6/08/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
6/08/2019;70;SUCRE;70001;SINCELEJO;1
9/08/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
11/08/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
13/08/2019;15;BOYACÁ;15001;TUNJA;1
15/08/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
16/08/2019;8;ATLÁNTICO;8001;BARRANQUILLA;1
20/08/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
28/08/2019;8;ATLÁNTICO;8141;CANDELARIA;1
28/08/2019;73;TOLIMA;73001;IBAGUE;1
30/08/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
3/09/2019;70;SUCRE;70742;SAN LUIS DE SINCE;1
4/09/2019;88;SAN ANDRÉS ISLAS;88001;SAN ANDRES;1
9/09/2019;41;HUILA;41551;PITALITO;1
9/09/2019;76;VALLE DEL CAUCA;76001;CALI;1
10/09/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
12/09/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
13/09/2019;44;LA GUAJIRA;44035;ALBANIA;1
18/09/2019;8;ATLÁNTICO;8758;SOLEDAD;1
25/09/2019;25;CUNDINAMARCA;25269;FACATATIVA;1
25/09/2019;76;VALLE DEL CAUCA;76001;CALI;1
26/09/2019;13;BOLÍVAR;13657;SAN JUAN NEPOMUCENO;1
1/10/2019;47;MAGDALENA;47001;SANTA MARTA;1
2/10/2019;44;LA GUAJIRA;44279;FONSECA;1
4/10/2019;8;ATLÁNTICO;8001;BARRANQUILLA;1
4/10/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
